region_type,region_index,chain,axis_x,axis_y,axis_z
5F,0,0,-0.4999536044187766,-0.8660188650095445,0.007597294008637536
5F,0,1,-0.4999536044187766,-0.8660188650095445,0.007597294008637536
5F,0,2,-0.4999536044187766,-0.8660188650095445,0.007597294008637536
5F,0,3,-0.4999536044187766,-0.8660188650095445,0.007597294008637536
5F,0,4,-0.4999536044187766,-0.8660188650095445,0.007597294008637536
5F,1,5,0.0044620529199124,-0.510599579867836,0.8598070476115727
5F,1,6,0.0044620529199124,-0.510599579867836,0.8598070476115727
5F,1,7,0.0044620529199124,-0.510599579867836,0.8598070476115727
5F,1,8,0.0044620529199124,-0.510599579867836,0.8598070476115727
5F,1,9,0.0044620529199124,-0.510599579867836,0.8598070476115727
5F,2,10,-0.0021726366527706465,0.5118658715022139,-0.8590626340618327
5F,2,11,-0.0021726366527706465,0.5118658715022139,-0.8590626340618327
5F,2,12,-0.0021726366527706465,0.5118658715022139,-0.8590626340618327
5F,2,13,-0.0021726366527706465,0.5118658715022139,-0.8590626340618327
5F,2,14,-0.0021726366527706465,0.5118658715022139,-0.8590626340618327
5F,3,15,0.49992703408083333,0.8660401272668974,-0.006889017250481511
5F,3,16,0.49992703408083333,0.8660401272668974,-0.006889017250481511
5F,3,17,0.49992703408083333,0.8660401272668974,-0.006889017250481511
5F,3,18,0.49992703408083333,0.8660401272668974,-0.006889017250481511
5F,3,19,0.49992703408083333,0.8660401272668974,-0.006889017250481511
5F,4,20,-0.8560430882097201,-0.019015076909330575,0.5165546030948692
5F,4,21,-0.8560430882097201,-0.019015076909330575,0.5165546030948692
5F,4,22,-0.8560430882097201,-0.019015076909330575,0.5165546030948692
5F,4,23,-0.8560430882097201,-0.019015076909330575,0.5165546030948692
5F,4,24,-0.8560430882097201,-0.019015076909330575,0.5165546030948692
5F,5,25,-0.5512845677958005,0.8340212284443934,-0.02222421684339759
5F,5,26,-0.5512845677958005,0.8340212284443934,-0.02222421684339759
5F,5,27,-0.5512845677958005,0.8340212284443934,-0.02222421684339759
5F,5,28,-0.5512845677958005,0.8340212284443934,-0.02222421684339759
5F,5,29,-0.5512845677958005,0.8340212284443934,-0.02222421684339759
5F,6,30,0.5494286603632648,-0.8353028500598537,0.019932281688599954
5F,6,31,0.5494286603632648,-0.8353028500598537,0.019932281688599954
5F,6,32,0.5494286603632648,-0.8353028500598537,0.019932281688599954
5F,6,33,0.5494286603632648,-0.8353028500598537,0.019932281688599954
5F,6,34,0.5494286603632648,-0.8353028500598537,0.019932281688599954
