region_type,region_index,chain,axis_x,axis_y,axis_z
5F,0,0,-0.5210146687922099,-0.8526268524392717,0.03963792884150201
5F,0,1,-0.5210146687922099,-0.8526268524392717,0.03963792884150201
5F,0,2,-0.5210146687922099,-0.8526268524392717,0.03963792884150201
5F,0,3,-0.5210146687922099,-0.8526268524392717,0.03963792884150201
5F,0,4,-0.5210146687922099,-0.8526268524392717,0.03963792884150201
5F,1,5,-0.0033616162135705354,-0.48017656526227176,0.8771654152492334
5F,1,6,-0.0033616162135705354,-0.48017656526227176,0.8771654152492334
5F,1,7,-0.0033616162135705354,-0.48017656526227176,0.8771654152492334
5F,1,8,-0.0033616162135705354,-0.48017656526227176,0.8771654152492334
5F,1,9,-0.0033616162135705354,-0.48017656526227176,0.8771654152492334
5F,2,10,0.004105514072005058,0.4807399819639683,-0.8768535878329335
5F,2,11,0.004105514072005058,0.4807399819639683,-0.8768535878329335
5F,2,12,0.004105514072005058,0.4807399819639683,-0.8768535878329335
5F,2,13,0.004105514072005058,0.4807399819639683,-0.8768535878329335
5F,2,14,0.004105514072005058,0.4807399819639683,-0.8768535878329335
5F,3,15,0.5219904421262588,0.8519659919670599,-0.04098691084256504
5F,3,16,0.5219904421262588,0.8519659919670599,-0.04098691084256504
5F,3,17,0.5219904421262588,0.8519659919670599,-0.04098691084256504
5F,3,18,0.5219904421262588,0.8519659919670599,-0.04098691084256504
5F,3,19,0.5219904421262588,0.8519659919670599,-0.04098691084256504
5F,4,20,-0.8548047894937084,0.022494129679073993,0.5184619426617522
5F,4,21,-0.8548047894937084,0.022494129679073993,0.5184619426617522
5F,4,22,-0.8548047894937084,0.022494129679073993,0.5184619426617522
5F,4,23,-0.8548047894937084,0.022494129679073993,0.5184619426617522
5F,4,24,-0.8548047894937084,0.022494129679073993,0.5184619426617522
5F,5,25,-0.5322612207621034,0.8451560590840634,-0.049083894164283715
5F,5,26,-0.5322612207621034,0.8451560590840634,-0.049083894164283715
5F,5,27,-0.5322612207621034,0.8451560590840634,-0.049083894164283715
5F,5,28,-0.5322612207621034,0.8451560590840634,-0.049083894164283715
5F,5,29,-0.5322612207621034,0.8451560590840634,-0.049083894164283715
5F,6,30,0.5305871999445586,-0.8461588435072234,0.04992429077624781
5F,6,31,0.5305871999445586,-0.8461588435072234,0.04992429077624781
5F,6,32,0.5305871999445586,-0.8461588435072234,0.04992429077624781
5F,6,33,0.5305871999445586,-0.8461588435072234,0.04992429077624781
5F,6,34,0.5305871999445586,-0.8461588435072234,0.04992429077624781
5F,7,35,0.8553988341046975,-0.024041282851761013,-0.5174116845715468
5F,7,36,0.8553988341046975,-0.024041282851761013,-0.5174116845715468
5F,7,37,0.8553988341046975,-0.024041282851761013,-0.5174116845715468
5F,7,38,0.8553988341046975,-0.024041282851761013,-0.5174116845715468
5F,7,39,0.8553988341046975,-0.024041282851761013,-0.5174116845715468
5F,8,40,-0.8456096746804231,-0.03221635374638858,-0.5328286634915173
5F,8,41,-0.8456096746804231,-0.03221635374638858,-0.5328286634915173
5F,8,42,-0.8456096746804231,-0.03221635374638858,-0.5328286634915173
5F,8,43,-0.8456096746804231,-0.03221635374638858,-0.5328286634915173
5F,8,44,-0.8456096746804231,-0.03221635374638858,-0.5328286634915173
5F,9,45,0.009120851227726483,-0.5695979229590984,-0.8218728710899045
5F,9,46,0.009120851227726483,-0.5695979229590984,-0.8218728710899045
5F,9,47,0.009120851227726483,-0.5695979229590984,-0.8218728710899045
5F,9,48,0.009120851227726483,-0.5695979229590984,-0.8218728710899045
5F,9,49,0.009120851227726483,-0.5695979229590984,-0.8218728710899045
5F,10,50,-0.010539254601499976,0.5702904961325823,0.8213754769490613
5F,10,51,-0.010539254601499976,0.5702904961325823,0.8213754769490613
5F,10,52,-0.010539254601499976,0.5702904961325823,0.8213754769490613
5F,10,53,-0.010539254601499976,0.5702904961325823,0.8213754769490613
5F,10,54,-0.010539254601499976,0.5702904961325823,0.8213754769490613
5F,11,55,0.8459837786804009,0.03096309058096631,0.532308870141486
5F,11,56,0.8459837786804009,0.03096309058096631,0.532308870141486
5F,11,57,0.8459837786804009,0.03096309058096631,0.532308870141486
5F,11,58,0.8459837786804009,0.03096309058096631,0.532308870141486
5F,11,59,0.8459837786804009,0.03096309058096631,0.532308870141486
3F,0,0,-0.5785707573193124,-0.5490875049821127,0.6031241917279356
3F,0,9,-0.5785707573193124,-0.5490875049821127,0.6031241917279356
3F,0,22,-0.5785707573193124,-0.5490875049821127,0.6031241917279356
3F,1,1,-0.9324832332083889,-0.36108490372870766,0.009628711464120393
3F,1,21,-0.9324832332083889,-0.36108490372870766,0.009628711464120393
3F,1,41,-0.9324832332083889,-0.36108490372870766,0.009628711464120393
3F,2,2,-0.568903555415839,-0.6095984532499601,-0.5520312223330068
3F,2,40,-0.568903555415839,-0.6095984532499601,-0.5520312223330068
3F,2,49,-0.568903555415839,-0.6095984532499601,-0.5520312223330068
3F,3,3,0.007467486422119425,-0.9520046954055655,-0.30599231456409465
3F,3,33,0.007467486422119425,-0.9520046954055655,-0.30599231456409465
3F,3,48,0.007467486422119425,-0.9520046954055655,-0.30599231456409465
3F,4,4,0.0038861311028057432,-0.9141677894022385,0.40531734579768025
3F,4,5,0.0038861311028057432,-0.9141677894022385,0.40531734579768025
3F,4,32,0.0038861311028057432,-0.9141677894022385,0.40531734579768025
3F,5,6,0.5767044515522168,-0.5420144347246733,0.6112547162271631
3F,5,31,0.5767044515522168,-0.5420144347246733,0.6112547162271631
3F,5,56,0.5767044515522168,-0.5420144347246733,0.6112547162271631
3F,6,7,0.3465997133312861,0.05136400804131473,0.936605774804214
3F,6,54,0.3465997133312861,0.05136400804131473,0.936605774804214
3F,6,55,0.3465997133312861,0.05136400804131473,0.936605774804214
3F,7,8,-0.3642802064509805,0.04713354992886784,0.9300958873466402
3F,7,23,-0.3642802064509805,0.04713354992886784,0.9300958873466402
3F,7,53,-0.3642802064509805,0.04713354992886784,0.9300958873466402
3F,8,10,0.5793702146051853,0.549213272831446,-0.6022415921987729
3F,8,19,0.5793702146051853,0.549213272831446,-0.6022415921987729
3F,8,37,0.5793702146051853,0.549213272831446,-0.6022415921987729
3F,9,11,0.3653217663456564,-0.04771414465284869,-0.929657661418512
3F,9,36,0.3653217663456564,-0.04771414465284869,-0.929657661418512
3F,9,46,0.3653217663456564,-0.04771414465284869,-0.929657661418512
3F,10,12,-0.3480662235566463,-0.05021167655345076,-0.9361242927927393
3F,10,44,-0.3480662235566463,-0.05021167655345076,-0.9361242927927393
3F,10,45,-0.3480662235566463,-0.05021167655345076,-0.9361242927927393
3F,11,13,-0.5766446119449575,0.5425103828058372,-0.61087107974
3F,11,28,-0.5766446119449575,0.5425103828058372,-0.61087107974
3F,11,43,-0.5766446119449575,0.5425103828058372,-0.61087107974
3F,12,14,-0.003302165544999767,0.9142464083490157,-0.40514515981761196
3F,12,15,-0.003302165544999767,0.9142464083490157,-0.40514515981761196
