region_type,region_index,n,mean,std,min,max,sem
3F,0,623,-0.025351677422684418,0.08334418033770725,-0.1684662343907939,0.3362417696422041,0.0033391140769496418
3F,1,623,-0.06673471797817547,0.037718297593109684,-0.16480476140275893,0.09189469707189529,0.0015111516837936548
3F,2,630,0.018587554752961814,0.21006367429814765,-0.1947222578468591,1.160512516082017,0.008369137110101602
3F,3,635,-0.02355861084229088,0.11421615696185784,-0.1720445208701621,0.654681464207753,0.004532529931130265
3F,4,622,0.006687973328531171,0.2042395255216242,-0.1766677238268404,1.2670561406754988,0.00818925888402676
3F,5,633,-0.0173676426962697,0.12385854156011177,-0.20250818870468157,0.7299148078163517,0.004922935059590427
3F,6,625,-0.04302049490109179,0.08036631735531176,-0.1851396143536118,0.29805044134817443,0.00321465269421247
3F,7,627,0.03350924586858941,0.1954080863658031,-0.19310883287060496,0.8972431242568971,0.0078038472719710915
3F,8,626,-0.04357043566657184,0.07581504866947644,-0.1637063927316017,0.49129900246201264,0.0030301787726431995
3F,9,632,-0.024974230286103807,0.11553695853017025,-0.18467019263535622,0.6218523196444425,0.00459581344750931
3F,10,624,-0.014007324127919817,0.11320679267787491,-0.17736371623031405,0.44490986568446916,0.0045318986774258415
3F,11,628,0.04374492671290319,0.20218914353886167,-0.16154476256131953,1.1446635939801109,0.008068225182005348
3F,12,622,0.10103124683975469,0.21856062521517391,-0.17532161860083362,1.2761697646404029,0.008763482666592383
3F,13,624,-0.005930424372998698,0.16446912783135367,-0.1687658810521877,0.8275622711354012,0.006584034449391885
3F,14,631,-0.04171112251984013,0.10693743112691502,-0.18648181070178133,0.49968625611115947,0.004257111915811698
3F,15,622,-0.01147580661564939,0.08263174465763203,-0.18653831610746777,0.35523708537103105,0.003313231106035339
3F,16,637,-0.028806156755766657,0.08757223005398738,-0.15996411192931514,0.5479511732911331,0.0034697380853448362
3F,17,629,-0.016297593674866547,0.1243132252725672,-0.1930111801496434,0.877850796774331,0.004956692891031925
3F,18,615,-0.01429318427155804,0.10235391164096343,-0.16920578938367453,0.43567947021205905,0.004127308071344124
3F,19,624,-0.023254424393786357,0.09881236051762289,-0.16509855773145887,0.3605853682245534,0.00395566021570241
5F,0,178,-0.008553799104280564,0.16404155124755054,-0.15412000109970975,0.48464949522491296,0.012295434097207772
5F,1,195,-0.03687234059410455,0.14190204307392135,-0.1540369537076401,0.4577171637938455,0.010161816370181936
5F,2,191,-0.009598603802168303,0.10870218316520223,-0.12236721050408504,0.45039599526989105,0.007865413927818572
5F,3,190,-0.06777381238092971,0.05616007612403613,-0.1612650956764306,0.14932284360351394,0.004074280143235853
5F,4,180,-0.006683158075842997,0.11737292193956458,-0.13413617545778145,0.3885730189191931,0.008748461072488096
5F,5,188,-0.07371567826724247,0.041588304646674,-0.1534300160646895,0.11155022151072981,0.003033138851849476
5F,6,184,-0.050799247462454115,0.11391382442162301,-0.1513931985100449,0.48109334058568964,0.008397838552904794
5F,7,194,0.07599281732826725,0.2342532369852012,-0.11988354091653647,0.7848497493664436,0.01681840226761397
5F,8,202,-0.04765206887702507,0.0859510852146535,-0.14445196761317178,0.6249175489462319,0.00604749725239343
5F,9,189,-0.043553709544355286,0.08166327754360858,-0.15614655465674385,0.2370178535655777,0.005940129378440853
5F,10,200,-0.002818920276471301,0.14426969174339266,-0.12018494963875571,0.6352653943028559,0.010201407735144582
5F,11,189,0.014342798754613011,0.1671187843509403,-0.15380942859313343,0.5609224532564239,0.01215610284662199
