region_type,region_index,chain,axis_x,axis_y,axis_z
5F,0,0,-0.012860486312762678,0.5333150891113574,0.845818907105974
5F,0,1,-0.012860486312762678,0.5333150891113574,0.845818907105974
5F,0,2,-0.012860486312762678,0.5333150891113574,0.845818907105974
5F,0,3,-0.012860486312762678,0.5333150891113574,0.845818907105974
5F,0,4,-0.012860486312762678,0.5333150891113574,0.845818907105974
5F,1,5,-0.0033882272624986554,-0.5167102392809847,0.8561536360596766
5F,1,6,-0.0033882272624986554,-0.5167102392809847,0.8561536360596766
5F,1,7,-0.0033882272624986554,-0.5167102392809847,0.8561536360596766
5F,1,8,-0.0033882272624986554,-0.5167102392809847,0.8561536360596766
5F,1,9,-0.0033882272624986554,-0.5167102392809847,0.8561536360596766
5F,2,10,0.001898083056576527,0.5185895616823312,-0.8550212066345712
5F,2,11,0.001898083056576527,0.5185895616823312,-0.8550212066345712
5F,2,12,0.001898083056576527,0.5185895616823312,-0.8550212066345712
5F,2,13,0.001898083056576527,0.5185895616823312,-0.8550212066345712
5F,2,14,0.001898083056576527,0.5185895616823312,-0.8550212066345712
5F,3,15,0.017748111556592245,-0.5317653554832832,-0.8467057406466029
5F,3,16,0.017748111556592245,-0.5317653554832832,-0.8467057406466029
5F,3,17,0.017748111556592245,-0.5317653554832832,-0.8467057406466029
5F,3,18,0.017748111556592245,-0.5317653554832832,-0.8467057406466029
5F,3,19,0.017748111556592245,-0.5317653554832832,-0.8467057406466029
5F,4,20,0.8445329746959378,0.01063695061590949,0.53539789870042
5F,4,21,0.8445329746959378,0.01063695061590949,0.53539789870042
5F,4,22,0.8445329746959378,0.01063695061590949,0.53539789870042
5F,4,23,0.8445329746959378,0.01063695061590949,0.53539789870042
5F,4,24,0.8445329746959378,0.01063695061590949,0.53539789870042
5F,5,25,0.854370096020375,0.004755959311453989,-0.5196432621300532
5F,5,26,0.854370096020375,0.004755959311453989,-0.5196432621300532
5F,5,27,0.854370096020375,0.004755959311453989,-0.5196432621300532
5F,5,28,0.854370096020375,0.004755959311453989,-0.5196432621300532
5F,5,29,0.854370096020375,0.004755959311453989,-0.5196432621300532
5F,6,30,-0.8543162809782865,-0.0019228591594292993,0.5197499347456258
5F,6,31,-0.8543162809782865,-0.0019228591594292993,0.5197499347456258
5F,6,32,-0.8543162809782865,-0.0019228591594292993,0.5197499347456258
5F,6,33,-0.8543162809782865,-0.0019228591594292993,0.5197499347456258
5F,6,34,-0.8543162809782865,-0.0019228591594292993,0.5197499347456258
5F,7,35,-0.8445391572351798,-0.014955479766134944,-0.5352849199458707
5F,7,36,-0.8445391572351798,-0.014955479766134944,-0.5352849199458707
5F,7,37,-0.8445391572351798,-0.014955479766134944,-0.5352849199458707
5F,7,38,-0.8445391572351798,-0.014955479766134944,-0.5352849199458707
5F,7,39,-0.8445391572351798,-0.014955479766134944,-0.5352849199458707
5F,8,40,0.5174263657809558,0.8557223547267175,-0.003034405324665081
5F,8,41,0.5174263657809558,0.8557223547267175,-0.003034405324665081
5F,8,42,0.5174263657809558,0.8557223547267175,-0.003034405324665081
5F,8,43,0.5174263657809558,0.8557223547267175,-0.003034405324665081
5F,8,44,0.5174263657809558,0.8557223547267175,-0.003034405324665081
5F,9,45,-0.5366658102567269,0.8437010796466047,-0.01258158593517905
5F,9,46,-0.5366658102567269,0.8437010796466047,-0.01258158593517905
5F,9,47,-0.5366658102567269,0.8437010796466047,-0.01258158593517905
5F,9,48,-0.5366658102567269,0.8437010796466047,-0.01258158593517905
5F,9,49,-0.5366658102567269,0.8437010796466047,-0.01258158593517905
5F,10,50,0.5342744804419529,-0.8452181455293742,0.012532598149101664
5F,10,51,0.5342744804419529,-0.8452181455293742,0.012532598149101664
5F,10,52,0.5342744804419529,-0.8452181455293742,0.012532598149101664
5F,10,53,0.5342744804419529,-0.8452181455293742,0.012532598149101664
5F,10,54,0.5342744804419529,-0.8452181455293742,0.012532598149101664
5F,11,55,-0.5150388792147138,-0.8571622163314903,0.002808521130255019
5F,11,56,-0.5150388792147138,-0.8571622163314903,0.002808521130255019
5F,11,57,-0.5150388792147138,-0.8571622163314903,0.002808521130255019
5F,11,58,-0.5150388792147138,-0.8571622163314903,0.002808521130255019
5F,11,59,-0.5150388792147138,-0.8571622163314903,0.002808521130255019
3F,0,0,0.3450771052347158,0.009731131163354412,0.9385238923592252
3F,0,9,0.3450771052347158,0.009731131163354412,0.9385238923592252
3F,0,22,0.3450771052347158,0.009731131163354412,0.9385238923592252
3F,1,1,0.5661068556776542,0.5858652319537325,0.5799008173322046
3F,1,21,0.5661068556776542,0.5858652319537325,0.5799008173322046
3F,1,41,0.5661068556776542,0.5858652319537325,0.5799008173322046
3F,2,2,-0.012888630370155724,0.9378501879441712,0.3468009633496771
3F,2,40,-0.012888630370155724,0.9378501879441712,0.3468009633496771
3F,2,49,-0.012888630370155724,0.9378501879441712,0.3468009633496771
3F,3,3,-0.5877253947710547,0.5760606991528856,0.5680958820768696
3F,3,33,-0.5877253947710547,0.5760606991528856,0.5680958820768696
3F,3,48,-0.5877253947710547,0.5760606991528856,0.5680958820768696
3F,4,4,-0.36397968423034005,0.008561051811926604,0.9313675417682621
3F,4,5,-0.36397968423034005,0.008561051811926604,0.9313675417682621
3F,4,32,-0.36397968423034005,0.008561051811926604,0.9313675417682621
3F,5,6,-0.5763999607690689,-0.5756676220214698,0.5799740288853995
3F,5,31,-0.5763999607690689,-0.5756676220214698,0.5799740288853995
