region_type,region_index,n,mean,std,min,max,sem
3F,0,249,-0.00043845599837461765,0.11852278445886666,-0.13962721638573267,0.3362417696422041,0.007511076275126952
3F,1,241,-0.08770014768156303,0.03646892170279803,-0.16030519141166572,0.0294155270325728,0.002349169757255042
3F,2,260,0.06560330066436543,0.2831873171113047,-0.16289142782519136,1.160512516082017,0.017562531858465343
3F,3,239,-0.03726777435688218,0.10065095321671924,-0.1720445208701621,0.6464016663652506,0.006510568936773333
3F,4,240,0.03894732092345617,0.27773712072176515,-0.16275261660386425,1.2670561406754988,0.017927854052983253
3F,5,258,0.031888441465632966,0.17958940396531559,-0.15165191652064355,0.7299148078163517,0.011180747922004857
3F,6,262,-0.053353939748801704,0.10276309678746014,-0.16705370937228708,0.29805044134817443,0.006348725321767775
3F,7,244,0.08597920420619615,0.22897355542541548,-0.12997646331366833,0.8972431242568971,0.014658529811906112
3F,8,241,-0.058403348031941776,0.0846428414087448,-0.16370261109253426,0.49129900246201264,0.00545232471708376
3F,9,256,-0.02461134566453662,0.1326531632406147,-0.15891256220989797,0.5823567945490291,0.00829082270253842
3F,10,238,0.030823620125815278,0.16007674398496036,-0.16108700635964604,0.44490986568446916,0.010376234150515784
3F,11,253,0.0767589374126323,0.2560924872593276,-0.16154476256131953,0.7853480262352972,0.01610039672880076
3F,12,236,0.18651490851970343,0.23767016917301398,-0.15632408723143681,0.8576190250384973,0.015471010248631433
3F,13,250,-0.01534333294063392,0.16740222756299997,-0.1687658810521877,0.6313574928820973,0.010587446489697963
3F,14,259,-0.03947056753360012,0.14525193086057275,-0.16586108284124626,0.49968625611115947,0.009025515829005657
3F,15,243,0.00479368237739286,0.10708273810027202,-0.12957684536820055,0.35523708537103105,0.006869360851972694
3F,16,256,-0.027410531232417348,0.1127988513425289,-0.15996411192931514,0.54197061096159,0.007049928208908056
3F,17,245,-0.0198162946284151,0.12553032841064823,-0.1513663168401754,0.633261871469522,0.00801983850183093
3F,18,247,0.0013244313071680868,0.13192025664159382,-0.16052683056608982,0.43567947021205905,0.008393884922890029
3F,19,265,-0.03402638312165007,0.10616691838894445,-0.16509855773145887,0.3581142343031696,0.006521781953563719
5F,0,80,-0.06785151478378217,0.09993261831680017,-0.15412000109970975,0.45389495660880297,0.01117280638629529
5F,1,84,-0.03451821124900217,0.150232982245828,-0.1540369537076401,0.4504094834936205,0.016391762214772947
5F,2,86,0.005930239468897986,0.09390269483582529,-0.11876479070142039,0.19818408797607587,0.010125787995423236
5F,3,83,-0.09221723381607994,0.03567443570319737,-0.1612650956764306,0.0315669728765451,0.003915778035511248
5F,4,80,-0.02181042646210204,0.11234173477949153,-0.13413617545778145,0.3885730189191931,0.01256018778385977
5F,5,80,-0.08594893974601517,0.0328018390213044,-0.1534300160646895,0.017023025387207753,0.0036673570919320904
5F,6,80,-0.09409238477643449,0.025769354596098262,-0.1513931985100449,-0.026368395622490215,0.0028811014306586173
5F,7,85,0.09884163005852335,0.2678151523577286,-0.10615147757762056,0.7016392521148704,0.029048631805867614
5F,8,85,-0.06998754953085398,0.04059545811367648,-0.14445196761317178,0.05038031903275933,0.0044031956569789595
5F,9,81,-0.026330147487273484,0.09050357585205716,-0.15614655465674385,0.2370178535655777,0.010055952872450796
5F,10,86,-0.02068179648839839,0.10392340053964097,-0.11720222548033413,0.3666526128420043,0.011206348480921193
5F,11,83,-0.02612734165500379,0.1336042593817254,-0.15380942859313343,0.5512916755022459,0.014664972662505733
