region_type,n_hbond_rows,hbonds_per_frame,n_region_residues,hbonds_per_frame_per_100res,length_mean,length_median,length_std,frac_under_3.0A
3F,19746,19.726273726273725,20858,0.09457413810659568,3.108161291090693,3.0967296121698418,0.19693131351390575,0.3267497214625747
5F,6558,6.551448551448551,8103,0.08085213564665619,3.1101168457764654,3.098380483868839,0.19489984575906874,0.31351021652942973
neither,295,0.2947052947052947,1759,0.016754138414172524,3.1333375326137842,3.1384982558138756,0.2007886769394046,0.27796610169491526
