==========================================================
PIC calculation: SUC
Job: 150   Node: gen-queue-spot-dy-m8i-96xl-1   Started: Wed Jul  1 11:10:10 AM EDT 2026
GRO: aav1/benchmark/md.gro
XTC: aav1/benchmark/md_noPBC.xtc
Radius: 20.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 48   CPUs/task: 4
11:10:38 [rank  23] INFO assigned 42 frames (local index 966:1008)
11:10:38 [rank  31] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  15] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  31] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  15] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  15] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  18] INFO assigned 42 frames (local index 756:798)
11:10:38 [rank  35] INFO assigned 41 frames (local index 1468:1509)
11:10:38 [rank  36] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  36] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  36] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  10] INFO assigned 42 frames (local index 420:462)
11:10:38 [rank  40] INFO assigned 41 frames (local index 1673:1714)
11:10:38 [rank  47] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank   7] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  16] INFO assigned 42 frames (local index 672:714)
11:10:38 [rank  47] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  47] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank   7] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank   7] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
