==========================================================
PIC calculation (per-residue): SUC
Job: 171   Node: mem-queue-multi-az-dy-r8i-32xl-1   Started: Wed Jul  1 05:58:49 PM EDT 2026
GRO: aav1/benchmark/md.gro
XTC: aav1/benchmark/md_noPBC.xtc
Radius: 20.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 64   CPUs/task: 1
17:59:24 [rank  14] INFO assigned 32 frames (local index 448:480)
17:59:24 [rank  55] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  54] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  55] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  54] INFO assigned 31 frames (local index 1691:1722)
17:59:24 [rank  55] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank   6] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank   6] INFO assigned 32 frames (local index 192:224)
17:59:24 [rank  36] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  26] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  36] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  36] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  26] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  26] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  17] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  46] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank   5] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  46] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  46] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  17] INFO assigned 31 frames (local index 544:575)
17:59:24 [rank   5] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank   5] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  15] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  15] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  15] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank   1] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  13] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank   1] INFO assigned 32 frames (local index 32:64)
17:59:24 [rank  13] INFO assigned 32 frames (local index 416:448)
17:59:24 [rank  35] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  35] INFO assigned 31 frames (local index 1102:1133)
17:59:24 [rank   7] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank   7] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  40] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank   7] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  40] INFO assigned 31 frames (local index 1257:1288)
17:59:24 [rank  11] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  11] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  11] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  56] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  39] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  56] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  56] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  39] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  39] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  55] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  23] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  12] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  63] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
