==========================================================
PIC calculation (per-residue): SUC
Job: 440   Node: mem-queue-multi-az-dy-r8i-24xl-1   Started: Thu Jul 16 11:34:38 AM EDT 2026
GRO: aav1/10ns_aav1ph6salt30suc1_rerun/md.gro
XTC: aav1/10ns_aav1ph6salt30suc1_rerun/md_whole.xtc
Radius: 40 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 48   CPUs/task: 1
11:35:05 [rank  40] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  40] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   9] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  33] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  19] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank  19] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank  42] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  39] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  36] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  46] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  12] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank  12] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank  32] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  19] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
11:35:05 [rank   5] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  46] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  46] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  36] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  36] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  12] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
11:35:05 [rank   2] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  17] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  32] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  32] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  27] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  14] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank   5] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   5] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  37] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  38] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank   0] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  17] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  17] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  14] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  14] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  38] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  38] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   0] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   0] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  13] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  47] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  24] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank  10] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  24] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank  18] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank  18] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank   3] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank   3] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank   7] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  47] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  47] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  24] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
11:35:05 [rank  40] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank   8] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank   8] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank  11] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  21] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  18] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
11:35:05 [rank  23] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank   3] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
11:35:05 [rank   9] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank   9] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank  43] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  21] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  21] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   6] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank   8] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
11:35:05 [rank  26] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  16] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  23] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  23] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  34] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  33] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank  33] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank  43] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  43] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   9] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
11:35:05 [rank  42] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank  42] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank   6] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   6] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  26] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  26] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  16] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  16] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  34] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  34] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  39] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank  39] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank  33] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
11:35:05 [rank  44] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  42] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
11:35:05 [rank  46] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  36] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  32] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  35] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  39] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
11:35:05 [rank  45] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank   2] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank   2] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank  44] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  44] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   5] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  22] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
11:35:05 [rank  17] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  27] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank  27] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank  35] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  35] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  37] INFO [water] 2507307 atoms grouped into 835769 residues/molecules
11:35:05 [rank  37] INFO [excipient] 16560 atoms grouped into 368 residues/molecules
11:35:05 [rank  14] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  45] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  45] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  38] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank   2] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
11:35:05 [rank  22] INFO [water] 2507307 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank  22] INFO [excipient] 16560 atoms, mass range 1.008-15.999 amu (OK)
11:35:05 [rank   0] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
11:35:05 [rank  27] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
