==========================================================
PIC calculation: SUC
Job: 149   Node: gen-queue-spot-dy-m8i-96xl-1   Started: Wed Jul  1 10:54:20 AM EDT 2026
GRO: aav1/md/md.gro
XTC: aav1/md/md_noPBC.xtc
Radius: 20.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 48   CPUs/task: 4
10:54:52 [rank  12] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  12] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  34] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  12] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  31] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  29] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  34] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  34] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  31] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  36] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  31] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  24] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  29] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  44] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  29] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   8] INFO assigned 1 frames (local index 8:9)
10:54:52 [rank  44] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  44] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  10] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  14] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  10] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  10] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  27] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  14] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  14] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  17] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  17] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   6] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  17] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   6] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   6] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  37] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank   5] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  28] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  37] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  37] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  41] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank   5] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   5] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   0] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  43] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  15] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank   4] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  43] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  43] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   0] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  15] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   7] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank   0] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  15] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   4] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   4] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   7] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   7] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  38] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  12] INFO assigned 1 frames (local index 12:13)
10:54:52 [rank  31] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  34] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  29] INFO assigned 0 frames (local index 21:21)
