region_type,n_hbond_rows,hbonds_per_frame,n_region_residues,hbonds_per_frame_per_100res,length_mean,length_median,length_std,frac_under_3.0A
3F,14836,14.82117882117882,12534,0.11824779656277981,3.121422683889159,3.115639576354362,0.19767952148488685,0.2969803181450526
5F,5272,5.266733266733267,2281,0.23089580301329532,3.0874424745446554,3.0767712441205837,0.20574529743136366,0.36684370257966614
neither,512,0.5114885114885115,695,0.07359546927892252,3.105779125833088,3.087599842925154,0.20730483140693465,0.33203125
