r_center_A,na_per_frame,cl_per_frame,net_charge_per_frame,cum_counter_charge_Q_e
0.025,0.0,0.0,0.0,0.0
0.07500000000000001,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0
0.17500000000000002,0.0,0.0,0.0,0.0
0.225,0.0,0.0,0.0,0.0
0.275,0.0,0.0,0.0,0.0
0.32500000000000007,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0
0.42500000000000004,0.0,0.0,0.0,0.0
0.475,0.0,0.0,0.0,0.0
0.525,0.0,0.0,0.0,0.0
0.5750000000000001,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0
0.675,0.0,0.0,0.0,0.0
0.7250000000000001,0.0,0.0,0.0,0.0
0.775,0.0,0.0,0.0,0.0
0.8250000000000001,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0
0.925,0.0,0.0,0.0,0.0
0.9750000000000001,0.0,0.0,0.0,0.0
1.025,0.0,0.0,0.0,0.0
1.0750000000000002,0.0,0.0,0.0,0.0
1.125,0.0,0.0,0.0,0.0
1.1750000000000003,0.0,0.0,0.0,0.0
1.225,0.0,0.0,0.0,0.0
1.275,0.0,0.0,0.0,0.0
1.3250000000000002,0.0,0.0,0.0,0.0
1.375,0.0,0.0,0.0,0.0
1.4250000000000003,0.0,0.0,0.0,0.0
1.475,0.0,0.0,0.0,0.0
1.525,0.0,0.0,0.0,0.0
1.5750000000000002,0.0,0.0,0.0,0.0
1.625,0.0,0.0,0.0,0.0
1.6750000000000003,0.0,0.0,0.0,0.0
1.725,0.0,0.0,0.0,0.0
1.775,0.0,0.0,0.0,0.0
1.8250000000000002,0.0,0.0,0.0,0.0
1.875,0.0,0.0,0.0,0.0
1.9250000000000003,0.0,0.0,0.0,0.0
1.975,0.0,0.0,0.0,0.0
2.0250000000000004,0.0,0.0,0.0,0.0
2.075,0.0499001996007984,0.0,0.0499001996007984,0.0499001996007984
2.125,0.3852295409181637,0.0,0.3852295409181637,0.4351297405189621
2.175,1.4171656686626746,0.0,1.4171656686626746,1.8522954091816366
2.225,3.1357285429141717,0.0,3.1357285429141717,4.9880239520958085
2.2750000000000004,4.8562874251497,0.0,4.8562874251497,9.844311377245509
2.325,5.313373253493014,0.0,5.313373253493014,15.157684630738522
2.375,4.676646706586826,0.0,4.676646706586826,19.83433133732535
2.4250000000000003,3.5469061876247503,0.0,3.5469061876247503,23.381237524950098
2.475,2.586826347305389,0.0,2.586826347305389,25.968063872255488
2.5250000000000004,1.7644710578842315,0.0,1.7644710578842315,27.73253493013972
2.575,1.2594810379241517,0.0,1.2594810379241517,28.99201596806387
2.625,0.8243512974051896,0.0,0.8243512974051896,29.81636726546906
2.6750000000000003,0.5029940119760479,0.0,0.5029940119760479,30.31936127744511
2.725,0.3972055888223553,0.0,0.3972055888223553,30.716566866267467
2.7750000000000004,0.34331337325349304,0.005988023952095809,0.3373253493013972,31.053892215568865
2.825,0.22954091816367264,0.10179640718562874,0.1277445109780439,31.18163672654691
2.875,0.17764471057884232,0.9680638722554891,-0.7904191616766467,30.391217564870264
2.9250000000000003,0.12375249500998003,4.405189620758483,-4.281437125748503,26.10978043912176
2.975,0.09780439121756487,12.75249500998004,-12.654690618762475,13.455089820359285
3.0250000000000004,0.11377245508982035,26.333333333333332,-26.219560878243513,-12.764471057884228
3.075,0.08982035928143713,40.24151696606786,-40.15169660678643,-52.91616766467066
3.125,0.1217564870259481,47.5688622754491,-47.44710578842315,-100.36327345309381
