residue_class,n,mean,sem,std,min,max
Special,4380,-0.2604771689497717,0.009235103262652724,0.6111936185455001,-2.18,3.8500000000000005
Acidic,2640,-0.2700416666666667,0.014624297604004435,0.7514100160922086,-2.09,3.9
Basic,2880,-0.2798263888888889,0.014202440007897967,0.7621829112965401,-2.5,3.86
Sulfur,960,-0.2890625,0.022094203887507467,0.6845638696322207,-1.72,2.86
Aromatic,3960,-0.2931111111111111,0.010558404633225191,0.6644248921132383,-2.0799999999999996,3.9200000000000004
Polar_uncharged,9360,-0.3043696581196581,0.00809237941610069,0.7829141837955538,-2.36,3.869999999999999
Aliphatic,6540,-0.304868501529052,0.008523331748854047,0.6892841097984872,-2.2199999999999998,3.6300000000000003
