condition_label,formulation,block,pH,NaCl_mM,sucrose_pct,region_type,region_index,n_residues,gamma23_mean_perresidue,gamma23_total
pH8 200mM 10%,,DOE,8,200,10,3F,1,234,-0.089657,-20.9797
pH8 200mM 10%,,DOE,8,200,10,3F,2,236,-0.156769,-36.9976
pH8 200mM 10%,,DOE,8,200,10,3F,3,235,-0.017859,-4.1969
pH8 200mM 10%,,DOE,8,200,10,3F,4,243,-0.284137,-69.0453
pH8 200mM 10%,,DOE,8,200,10,3F,5,224,-0.010144,-2.2724
pH8 200mM 10%,,DOE,8,200,10,3F,6,234,0.421933,98.7323
pH8 200mM 10%,,DOE,8,200,10,3F,7,242,0.412038,99.7132
pH8 200mM 10%,,DOE,8,200,10,3F,8,231,-0.331696,-76.6217
pH8 200mM 10%,,DOE,8,200,10,3F,9,238,-0.344405,-81.9684
pH8 200mM 10%,,DOE,8,200,10,3F,10,240,-0.228775,-54.906
pH8 200mM 10%,,DOE,8,200,10,3F,11,254,-0.030388,-7.7185
pH8 200mM 10%,,DOE,8,200,10,3F,12,231,0.243466,56.2406
pH8 200mM 10%,,DOE,8,200,10,3F,13,223,-0.287833,-64.1867
pH8 200mM 10%,,DOE,8,200,10,3F,14,238,0.190383,45.3112
pH8 200mM 10%,,DOE,8,200,10,3F,15,259,-0.195887,-50.7348
pH8 200mM 10%,,DOE,8,200,10,3F,16,242,-0.182392,-44.1388
pH8 200mM 10%,,DOE,8,200,10,3F,17,223,-0.180918,-40.3448
pH8 200mM 10%,,DOE,8,200,10,3F,18,240,0.099627,23.9104
pH8 200mM 10%,,DOE,8,200,10,3F,19,228,0.309881,70.6528
pH8 200mM 10%,,DOE,8,200,10,5F,0,86,-0.400826,-34.471
pH8 200mM 10%,,DOE,8,200,10,5F,1,82,-0.378248,-31.0163
pH8 200mM 10%,,DOE,8,200,10,5F,2,86,0.479924,41.2735
pH8 200mM 10%,,DOE,8,200,10,5F,3,83,-0.060195,-4.9962
pH8 200mM 10%,,DOE,8,200,10,5F,4,81,0.222452,18.0186
pH8 200mM 10%,,DOE,8,200,10,5F,5,81,-0.122731,-9.9412
pH8 200mM 10%,,DOE,8,200,10,5F,6,84,-0.623117,-52.3418
pH8 200mM 10%,,DOE,8,200,10,5F,7,83,-0.356319,-29.5745
pH8 200mM 10%,,DOE,8,200,10,5F,8,84,-0.21784,-18.2986
pH8 200mM 10%,,DOE,8,200,10,5F,9,84,-0.278901,-23.4277
pH8 200mM 10%,,DOE,8,200,10,5F,10,86,0.433949,37.3196
pH8 200mM 10%,,DOE,8,200,10,5F,11,87,0.343086,29.8485
pH8 30mM 10%,,DOE,8,30,10,3F,0,236,-0.103782,-24.4925
pH8 30mM 10%,,DOE,8,30,10,3F,1,247,-0.320159,-79.0794
pH8 30mM 10%,,DOE,8,30,10,3F,2,264,-0.060435,-15.9549
pH8 30mM 10%,,DOE,8,30,10,3F,3,242,-0.328523,-79.5027
pH8 30mM 10%,,DOE,8,30,10,3F,4,232,-0.099613,-23.1101
pH8 30mM 10%,,DOE,8,30,10,3F,5,242,-0.042631,-10.3167
pH8 30mM 10%,,DOE,8,30,10,3F,6,246,0.117611,28.9323
pH8 30mM 10%,,DOE,8,30,10,3F,7,219,-0.250237,-54.8018
pH8 30mM 10%,,DOE,8,30,10,3F,8,232,-0.014602,-3.3877
pH8 30mM 10%,,DOE,8,30,10,3F,9,220,-0.041899,-9.2178
pH8 30mM 10%,,DOE,8,30,10,3F,10,217,0.197648,42.8896
pH8 30mM 10%,,DOE,8,30,10,3F,11,245,0.188943,46.2911
pH8 30mM 10%,,DOE,8,30,10,3F,12,251,-0.06552,-16.4456
pH8 30mM 10%,,DOE,8,30,10,3F,13,252,-0.167049,-42.0963
pH8 30mM 10%,,DOE,8,30,10,3F,14,246,-0.073415,-18.0602
pH8 30mM 10%,,DOE,8,30,10,3F,15,246,0.051469,12.6613
pH8 30mM 10%,,DOE,8,30,10,3F,16,240,-0.336256,-80.7014
pH8 30mM 10%,,DOE,8,30,10,3F,17,222,0.215317,47.8003
pH8 30mM 10%,,DOE,8,30,10,3F,18,221,-0.060382,-13.3444
pH8 30mM 10%,,DOE,8,30,10,3F,19,232,0.394525,91.5299
pH8 30mM 10%,,DOE,8,30,10,5F,0,87,-0.106264,-9.245
pH8 30mM 10%,,DOE,8,30,10,5F,1,84,-0.078094,-6.5599
pH8 30mM 10%,,DOE,8,30,10,5F,2,82,-0.484563,-39.7342
pH8 30mM 10%,,DOE,8,30,10,5F,3,88,0.169707,14.9342
pH8 30mM 10%,,DOE,8,30,10,5F,4,84,0.248901,20.9077
pH8 30mM 10%,,DOE,8,30,10,5F,5,83,-0.338739,-28.1153
pH8 30mM 10%,,DOE,8,30,10,5F,6,82,-0.27747,-22.7526
pH8 30mM 10%,,DOE,8,30,10,5F,7,86,-0.38485,-33.0971
pH8 30mM 10%,,DOE,8,30,10,5F,8,86,0.479603,41.2459
pH8 30mM 10%,,DOE,8,30,10,5F,9,85,-0.196648,-16.7151
pH8 30mM 10%,,DOE,8,30,10,5F,10,82,-0.067623,-5.5451
pH8 30mM 10%,,DOE,8,30,10,5F,11,85,-0.208312,-17.7066
