r_angstrom,s30mM_1pct_pH6_gamma23_mean,s30mM_1pct_pH6_SE_raw,s30mM_1pct_pH6_SE_corrected_x8.5,s30mM_1pct_pH8_gamma23_mean,s30mM_1pct_pH8_SE_raw,s30mM_1pct_pH8_SE_corrected_x8.5,s30mM_10pct_pH6_gamma23_mean,s30mM_10pct_pH6_SE_raw,s30mM_10pct_pH6_SE_corrected_x8.5,s30mM_10pct_pH8_gamma23_mean,s30mM_10pct_pH8_SE_raw,s30mM_10pct_pH8_SE_corrected_x8.5,s200mM_1pct_pH6_gamma23_mean,s200mM_1pct_pH6_SE_raw,s200mM_1pct_pH6_SE_corrected_x8.5,s200mM_1pct_pH8_gamma23_mean,s200mM_1pct_pH8_SE_raw,s200mM_1pct_pH8_SE_corrected_x8.5,s200mM_10pct_pH6_gamma23_mean,s200mM_10pct_pH6_SE_raw,s200mM_10pct_pH6_SE_corrected_x8.5,s200mM_10pct_pH8_gamma23_mean,s200mM_10pct_pH8_SE_raw,s200mM_10pct_pH8_SE_corrected_x8.5
8.8,7.06773,0.52796,4.48768,-3.78560,0.26753,2.27404,-0.44661,2.33651,19.86032,-68.74867,2.21386,18.81779,2.51548,0.34181,2.90538,-6.50982,0.27498,2.33733,18.83218,2.67594,22.74552,-53.41793,1.89010,16.06585
8.9,6.96802,0.53016,4.50638,-3.88944,0.26710,2.27036,-0.53082,2.34122,19.90033,-69.23061,2.22245,18.89085,2.41054,0.34185,2.90577,-6.62492,0.27625,2.34809,18.59118,2.68104,22.78882,-53.99962,1.89993,16.14943
9.0,6.90777,0.53404,4.53930,-4.09264,0.26778,2.27616,-0.38159,2.34929,19.96899,-69.75521,2.23087,18.96241,2.32191,0.34194,2.90647,-6.76191,0.27825,2.36508,18.40404,2.69512,22.90850,-54.40023,1.90421,16.18582
9.1,6.79857,0.53703,4.56476,-4.18415,0.26714,2.27073,-0.40605,2.35642,20.02954,-70.22323,2.23670,19.01194,2.20379,0.34193,2.90641,-6.84220,0.27969,2.37734,18.10664,2.71189,23.05105,-54.82780,1.90692,16.20885
9.2,6.70581,0.54070,4.59592,-4.32401,0.26747,2.27350,-0.50281,2.36574,20.10876,-70.63951,2.24434,19.07691,2.10809,0.34215,2.90830,-6.93948,0.28169,2.39434,18.01271,2.72531,23.16511,-55.17187,1.91626,16.28821
9.3,6.60901,0.54129,4.60096,-4.41502,0.26841,2.28152,-0.48294,2.37293,20.16990,-71.06088,2.25106,19.13399,1.97799,0.34231,2.90966,-7.05250,0.28264,2.40247,18.02805,2.73530,23.25001,-55.58591,1.92449,16.35815
9.4,6.51545,0.54467,4.62968,-4.56393,0.26852,2.28244,-0.52072,2.38541,20.27596,-71.72786,2.26112,19.21953,1.82284,0.34217,2.90848,-7.08787,0.28323,2.40742,17.78462,2.74765,23.35499,-55.99227,1.92865,16.39352
9.5,6.49187,0.54775,4.65591,-4.68520,0.26807,2.27861,-0.63022,2.39572,20.36362,-72.36901,2.27260,19.31706,1.70356,0.34167,2.90416,-7.16416,0.28278,2.40366,17.64892,2.75631,23.42864,-56.32588,1.93782,16.47148
9.6,6.46974,0.55106,4.68401,-4.78451,0.26894,2.28595,-0.55768,2.40533,20.44530,-72.96226,2.28132,19.39119,1.58572,0.34063,2.89539,-7.26431,0.28297,2.40523,17.54809,2.76711,23.52040,-56.85017,1.94709,16.55030
9.7,6.39739,0.55428,4.71135,-4.86836,0.26860,2.28309,-0.66662,2.40911,20.47746,-73.43051,2.28481,19.42090,1.51285,0.34013,2.89109,-7.36724,0.28291,2.40473,17.50126,2.78095,23.63809,-57.36477,1.95161,16.58868
9.8,6.34034,0.55618,4.72756,-4.97311,0.26748,2.27355,-0.74254,2.41505,20.52793,-73.92588,2.29360,19.49560,1.42694,0.33983,2.88854,-7.54146,0.28493,2.42192,17.44999,2.79944,23.79523,-57.70101,1.96033,16.66283
9.9,6.29672,0.55857,4.74789,-5.09986,0.26801,2.27811,-0.82573,2.42285,20.59421,-74.46680,2.29402,19.49918,1.28807,0.34136,2.90158,-7.65322,0.28706,2.43998,17.33343,2.81555,23.93218,-58.10121,1.96518,16.70403
10.0,6.19334,0.56017,4.76144,-5.22959,0.26726,2.27173,-0.88647,2.43194,20.67149,-75.13102,2.30220,19.56869,1.18055,0.34122,2.90036,-7.74080,0.28572,2.42862,17.11868,2.82879,24.04472,-58.49546,1.96766,16.72509
10.1,6.11815,0.56321,4.78731,-5.39412,0.26416,2.24534,-0.88518,2.43688,20.71350,-75.75045,2.30756,19.61426,0.98463,0.33936,2.88455,-7.84554,0.28622,2.43290,16.94690,2.84093,24.14788,-58.87558,1.96927,16.73883
10.2,6.06646,0.56569,4.80836,-5.54519,0.26463,2.24939,-0.91703,2.44301,20.76557,-76.23758,2.31176,19.64995,0.86438,0.33950,2.88578,-7.92264,0.28569,2.42837,16.78849,2.85532,24.27023,-59.28338,1.97136,16.75659
10.3,6.01385,0.57011,4.84592,-5.66157,0.26492,2.25182,-0.96982,2.45178,20.84009,-76.82365,2.31786,19.70185,0.78382,0.33898,2.88137,-8.00231,0.28589,2.43009,16.53363,2.86593,24.36040,-59.79327,1.97727,16.80680
10.4,5.93140,0.57179,4.86020,-5.79087,0.26658,2.26591,-1.23076,2.45589,20.87502,-77.18642,2.32247,19.74096,0.69446,0.33928,2.88390,-8.10339,0.28801,2.44812,16.26434,2.87881,24.46990,-60.13731,1.98342,16.85909
10.5,5.87806,0.57314,4.87171,-5.94059,0.26597,2.26075,-1.34079,2.46394,20.94349,-77.83276,2.32818,19.78953,0.60122,0.33948,2.88560,-8.15589,0.28921,2.45827,15.83532,2.89549,24.61165,-60.51330,1.98538,16.87575
10.6,5.78691,0.57628,4.89835,-6.04807,0.26753,2.27403,-1.55691,2.47368,21.02629,-78.35061,2.32983,19.80357,0.50316,0.33942,2.88504,-8.25476,0.29073,2.47122,15.40118,2.90907,24.72705,-60.89596,1.98774,16.89579
10.7,5.70432,0.57760,4.90962,-6.15574,0.26791,2.27724,-1.65792,2.48358,21.11041,-78.99567,2.33369,19.83639,0.36987,0.33904,2.88182,-8.33868,0.29027,2.46728,14.77374,2.92347,24.84953,-61.37903,1.99533,16.96033
10.8,5.67460,0.58107,4.93913,-6.28610,0.26838,2.28119,-1.77890,2.49369,21.19638,-79.67743,2.33751,19.86885,0.29038,0.33926,2.88369,-8.45615,0.29279,2.48874,14.32627,2.93889,24.98053,-61.79566,1.99566,16.96312
10.9,5.62135,0.58309,4.95623,-6.44476,0.26945,2.29032,-1.79963,2.49800,21.23303,-80.19455,2.34158,19.90340,0.15275,0.33956,2.88628,-8.60878,0.29264,2.48740,13.93722,2.95656,25.13076,-62.31813,2.00079,17.00671
11.0,5.56873,0.58450,4.96827,-6.56872,0.26990,2.29414,-2.03824,2.50745,21.31330,-80.90415,2.34796,19.95765,-0.01122,0.34010,2.89086,-8.65716,0.29204,2.48235,13.43902,2.96604,25.21135,-62.88773,2.00644,17.05474
11.1,5.54424,0.58779,4.99624,-6.75620,0.26940,2.28988,-2.15995,2.51570,21.38344,-81.43369,2.34936,19.96957,-0.09543,0.34090,2.89763,-8.80954,0.29357,2.49531,12.94665,2.97878,25.31961,-63.52083,2.00799,17.06789
11.2,5.46182,0.59036,5.01807,-6.94128,0.26989,2.29405,-2.29215,2.52095,21.42805,-82.08477,2.35876,20.04942,-0.16344,0.34205,2.90738,-8.89479,0.29573,2.51369,12.48895,2.99413,25.45014,-63.96391,2.01097,17.09326
11.3,5.40871,0.59287,5.03939,-7.06178,0.26904,2.28681,-2.45251,2.52701,21.47957,-82.74385,2.36521,20.10430,-0.25965,0.34370,2.92142,-8.93871,0.29680,2.52280,12.06526,3.00941,25.57996,-64.43292,2.01325,17.11263
11.4,5.36793,0.59498,5.05737,-7.24142,0.26858,2.28289,-2.80233,2.53777,21.57108,-83.29626,2.36919,20.13809,-0.38912,0.34388,2.92295,-9.02353,0.29775,2.53085,11.65412,3.02423,25.70592,-65.11016,2.01470,17.12499
11.5,5.32455,0.59611,5.06696,-7.35853,0.26834,2.28089,-3.16047,2.54338,21.61870,-84.00898,2.37518,20.18905,-0.50606,0.34500,2.93253,-9.14955,0.29825,2.53514,11.25972,3.04092,25.84785,-65.62486,2.01809,17.15377
11.6,5.23437,0.59907,5.09207,-7.49229,0.27068,2.30074,-3.44550,2.55198,21.69183,-84.53942,2.37533,20.19028,-0.56668,0.34526,2.93472,-9.21635,0.29775,2.53090,10.62816,3.05154,25.93811,-66.34501,2.01423,17.12097
11.7,5.21273,0.60129,5.11093,-7.60283,0.27061,2.30015,-3.61511,2.55621,21.72779,-85.16699,2.38332,20.25821,-0.64357,0.34552,2.93691,-9.30842,0.29895,2.54107,9.99090,3.06451,26.04831,-66.96095,2.01679,17.14269
11.8,5.16517,0.60448,5.13805,-7.72585,0.26875,2.28436,-3.83910,2.56730,21.82209,-85.83952,2.38631,20.28360,-0.72229,0.34477,2.93056,-9.43239,0.29759,2.52948,9.11964,3.07611,26.14696,-67.60647,2.02138,17.18172
11.9,5.05301,0.60593,5.15037,-7.86688,0.27015,2.29630,-4.26687,2.56467,21.79968,-86.61975,2.39161,20.32870,-0.83580,0.34487,2.93138,-9.51692,0.29870,2.53896,8.52809,3.09262,26.28723,-68.18274,2.02391,17.20327
12.0,5.08552,0.60800,5.16799,-8.04708,0.26965,2.29204,-4.57591,2.57439,21.88235,-87.16246,2.39012,20.31606,-0.92954,0.34604,2.94134,-9.60942,0.29934,2.54435,8.07925,3.10259,26.37198,-68.76840,2.02564,17.21797
12.1,5.07984,0.60948,5.18057,-8.19288,0.26975,2.29290,-4.95642,2.58813,21.99909,-87.82665,2.39361,20.34566,-1.02023,0.34684,2.94815,-9.62564,0.29969,2.54738,7.39970,3.11913,26.51262,-69.31566,2.02652,17.22538
12.2,5.02973,0.61249,5.20619,-8.31021,0.27027,2.29727,-5.50099,2.59081,22.02188,-88.61589,2.39356,20.34523,-1.12752,0.34736,2.95252,-9.67349,0.30007,2.55059,6.81650,3.13337,26.63368,-70.11317,2.02804,17.23832
12.3,4.93455,0.61578,5.23409,-8.43093,0.26914,2.28766,-5.92891,2.60074,22.10628,-89.23823,2.39755,20.37922,-1.23457,0.34844,2.96173,-9.79229,0.29951,2.54581,5.92097,3.14864,26.76343,-70.82140,2.02317,17.19694
12.4,4.91028,0.61856,5.25774,-8.51651,0.26820,2.27974,-6.26348,2.60759,22.16455,-89.73455,2.40013,20.40112,-1.32958,0.35048,2.97906,-9.89541,0.30029,2.55242,5.26304,3.15985,26.85871,-71.61072,2.02676,17.22742
12.5,4.90310,0.62023,5.27191,-8.63135,0.26861,2.28322,-6.51186,2.61328,22.21291,-90.24579,2.40154,20.41313,-1.42963,0.35217,2.99345,-9.90258,0.30166,2.56409,4.65049,3.17266,26.96760,-72.30340,2.02111,17.17944
12.6,4.85181,0.62178,5.28511,-8.77840,0.26836,2.28106,-6.85631,2.61932,22.26420,-90.99540,2.40400,20.43403,-1.47611,0.35261,2.99721,-10.00161,0.30258,2.57192,4.06532,3.18506,27.07302,-73.13226,2.02289,17.19460
12.7,4.79043,0.62457,5.30887,-8.93033,0.26804,2.27834,-7.16131,2.62903,22.34674,-91.54273,2.40439,20.43733,-1.56004,0.35194,2.99146,-10.10055,0.30502,2.59268,3.41240,3.19213,27.13307,-74.03606,2.02353,17.20001
12.8,4.71350,0.62595,5.32056,-9.02724,0.26672,2.26716,-7.58804,2.63241,22.37552,-92.04132,2.41219,20.50361,-1.65434,0.35216,2.99337,-10.15541,0.30614,2.60219,2.63169,3.21027,27.28728,-74.67073,2.02248,17.19106
12.9,4.67414,0.62828,5.34037,-9.10303,0.26644,2.26475,-7.86126,2.64318,22.46703,-92.67286,2.41235,20.50497,-1.71313,0.35192,2.99131,-10.24251,0.30651,2.60531,2.04164,3.22250,27.39124,-75.54647,2.02522,17.21434
13.0,4.66718,0.63097,5.36324,-9.16649,0.26692,2.26882,-8.17555,2.64958,22.52146,-93.50689,2.40712,20.46051,-1.84527,0.35233,2.99479,-10.31532,0.30866,2.62362,1.46056,3.23620,27.50774,-76.24475,2.02255,17.19163
13.1,4.62890,0.63329,5.38299,-9.26497,0.26750,2.27377,-8.55524,2.65222,22.54386,-94.18611,2.40795,20.46754,-1.89992,0.35413,3.01007,-10.36880,0.31131,2.64612,0.68415,3.24842,27.61153,-77.02261,2.02366,17.20112
13.2,4.51358,0.63543,5.40119,-9.35333,0.26766,2.27514,-8.95440,2.66095,22.61808,-94.92499,2.40959,20.48153,-1.91967,0.35517,3.01896,-10.43782,0.31182,2.65047,0.10357,3.26723,27.77143,-77.63310,2.02850,17.24223
13.3,4.49214,0.63746,5.41841,-9.47859,0.26772,2.27561,-9.45427,2.66792,22.67729,-95.52018,2.41000,20.48499,-2.04917,0.35613,3.02712,-10.54022,0.31323,2.66241,-0.45488,3.28757,27.94435,-78.37678,2.03044,17.25874
13.4,4.40915,0.63991,5.43919,-9.58826,0.26849,2.28217,-9.89847,2.67325,22.72261,-96.24058,2.41215,20.50327,-2.17750,0.35662,3.03124,-10.62656,0.31269,2.65787,-1.14450,3.30412,28.08502,-79.25825,2.02680,17.22776
13.5,4.23965,0.64296,5.46519,-9.71480,0.26861,2.28316,-10.29080,2.68213,22.79807,-96.67308,2.41494,20.52700,-2.29682,0.35768,3.04026,-10.66852,0.31446,2.67287,-1.86757,3.31486,28.17628,-79.95475,2.01804,17.15337
13.6,4.23701,0.64511,5.48345,-9.85863,0.26891,2.28574,-10.94419,2.68873,22.85419,-97.47381,2.41073,20.49121,-2.39873,0.36002,3.06017,-10.71411,0.31522,2.67935,-2.43430,3.32873,28.29421,-80.72475,2.01582,17.13446
13.7,4.19696,0.64796,5.50762,-10.02228,0.27010,2.29589,-11.39600,2.69532,22.91022,-98.31596,2.40525,20.44464,-2.43904,0.36265,3.08256,-10.76680,0.31613,2.68711,-2.89234,3.34682,28.44793,-81.57423,2.02097,17.17826
13.8,4.16488,0.64878,5.51464,-10.13335,0.27032,2.29770,-11.87933,2.70002,22.95019,-99.10081,2.40446,20.43792,-2.56645,0.36383,3.09259,-10.80592,0.31690,2.69361,-3.50000,3.36445,28.59781,-82.38784,2.01759,17.14955
13.9,4.09892,0.64883,5.51503,-10.24667,0.27157,2.30837,-12.33203,2.70494,22.99198,-99.69778,2.40373,20.43174,-2.68219,0.36557,3.10733,-10.83269,0.31783,2.70153,-3.93626,3.37954,28.72609,-83.19349,2.02220,17.18869
14.0,3.95992,0.65134,5.53641,-10.34867,0.27068,2.30075,-12.69848,2.71388,23.06802,-100.41425,2.39887,20.39041,-2.80321,0.36565,3.10807,-10.83385,0.31900,2.71152,-4.58189,3.39540,28.86091,-83.89293,2.02311,17.19647
14.1,3.90734,0.65312,5.55154,-10.45989,0.27199,2.31195,-13.19891,2.72225,23.13909,-101.14402,2.39718,20.37605,-2.89062,0.36698,3.11932,-10.88769,0.32065,2.72548,-5.34310,3.41077,28.99155,-84.74126,2.02242,17.19059
14.2,3.84515,0.65568,5.57328,-10.54973,0.27165,2.30899,-13.51947,2.73009,23.20578,-101.75200,2.40291,20.42470,-2.93375,0.36724,3.12155,-10.94422,0.32230,2.73953,-5.98746,3.42513,29.11364,-85.61334,2.02081,17.17692
14.3,3.74932,0.65665,5.58153,-10.66107,0.27052,2.29944,-13.83745,2.73399,23.23888,-102.55773,2.39614,20.36723,-3.02151,0.36979,3.14324,-10.94831,0.32255,2.74170,-6.48060,3.43466,29.19457,-86.49923,2.02481,17.21091
14.4,3.63739,0.65818,5.59451,-10.72217,0.27131,2.30612,-14.52366,2.73656,23.26074,-103.21531,2.39048,20.31906,-3.16569,0.37163,3.15883,-10.98169,0.32235,2.74001,-7.16172,3.44849,29.31214,-87.38119,2.02349,17.19968
14.5,3.59067,0.66178,5.62511,-10.83174,0.27078,2.30165,-15.10361,2.73950,23.28576,-103.88870,2.39425,20.35111,-3.25581,0.37280,3.16878,-11.01223,0.32247,2.74097,-7.92924,3.46252,29.43145,-87.89705,2.01677,17.14258
14.6,3.51406,0.66212,5.62799,-10.94178,0.26907,2.28713,-15.54220,2.73866,23.27862,-104.51640,2.39587,20.36492,-3.37087,0.37580,3.19428,-11.04526,0.32217,2.73848,-8.57457,3.47711,29.55543,-88.75153,2.01479,17.12573
14.7,3.47445,0.66236,5.63010,-11.03706,0.27037,2.29815,-16.22261,2.74222,23.30883,-105.20014,2.39380,20.34733,-3.48611,0.37829,3.21550,-11.06119,0.32258,2.74195,-9.28000,3.48629,29.63349,-89.58963,2.00962,17.08174
14.8,3.39108,0.66377,5.64205,-11.17702,0.27034,2.29792,-16.68648,2.74208,23.30765,-105.93909,2.39903,20.39177,-3.58748,0.38019,3.23161,-11.18981,0.32390,2.75312,-9.97749,3.49671,29.72202,-90.33417,2.00781,17.06641
14.9,3.32676,0.66407,5.64461,-11.28158,0.27148,2.30754,-17.32945,2.74941,23.37002,-106.53321,2.39589,20.36502,-3.69806,0.38141,3.24200,-11.26981,0.32299,2.74540,-10.75367,3.51628,29.88834,-91.26308,2.00676,17.05750
15.0,3.21936,0.66570,5.65849,-11.38615,0.27257,2.31689,-18.02586,2.75877,23.44957,-107.18781,2.39665,20.37154,-3.80544,0.38289,3.25458,-11.37428,0.32179,2.73518,-11.51393,3.53295,30.03007,-91.85627,2.00465,17.03951
