residue_class,n,mean,sem,std,min,max
Special,4500,-0.25758222222222227,0.0033986567679483,0.2279888269596638,-1.12,0.75
Polar_uncharged,10260,-0.33151461988304093,0.0028943095541066294,0.29316941378088424,-1.44,0.8000000000000002
Aliphatic,6240,-0.3403589743589744,0.003330512289078869,0.26308939080107635,-1.18,0.6100000000000001
Aromatic,3960,-0.3575580808080808,0.004851236088285406,0.30528116003736533,-1.5100000000000005,0.44
Sulfur,780,-0.3667051282051282,0.009950358351073635,0.2778983850718263,-1.25,0.09
Acidic,2400,-0.3898083333333333,0.006941398442483799,0.34005768570870387,-1.6299999999999994,0.21
Basic,2940,-0.40180272108843534,0.006701425062426602,0.36336310727689314,-1.6599999999999995,0.31
