r_center_A,na_per_frame,cl_per_frame,net_charge_per_frame,cum_counter_charge_Q_e
0.25,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0
2.25,131.01596806387226,0.0,131.01596806387226,131.01596806387226
2.75,23.60878243512974,2.1137724550898205,21.49500998003992,152.5109780439122
3.25,7.680638722554891,61.97604790419162,-54.29540918163673,98.21556886227546
3.75,61.884231536926144,18.389221556886227,43.49500998003992,141.71057884231539
4.25,137.3453093812375,28.864271457085827,108.48103792415169,250.19161676646706
4.75,100.51297405189621,29.830339321357286,70.68263473053892,320.87425149700596
5.25,48.68862275449102,25.93013972055888,22.758483033932137,343.6327345309381
5.75,42.600798403193615,25.49500998003992,17.105788423153694,360.73852295409176
6.25,47.075848303393215,28.526946107784433,18.548902195608783,379.28742514970054
6.75,48.56487025948104,31.499001996007983,17.065868263473053,396.3532934131736
7.25,45.790419161676645,30.357285429141715,15.43313373253493,411.78642714570856
7.75,43.39121756487026,27.97804391217565,15.41317365269461,427.19960079840314
8.25,41.19560878243513,28.69261477045908,12.502994011976048,439.7025948103792
8.75,39.71656686626746,29.656686626746506,10.059880239520957,449.76247504990016
9.25,38.12175648702595,30.233532934131738,7.888223552894211,457.65069860279436
9.75,37.79840319361278,30.16566866267465,7.632734530938124,465.2834331337325
10.25,37.78842315369261,30.652694610778443,7.135728542914172,472.4191616766467
10.75,37.62075848303393,30.96606786427146,6.6546906187624755,479.07385229540915
11.25,37.63073852295409,31.64870259481038,5.982035928143713,485.05588822355287
11.75,36.97005988023952,31.461077844311376,5.508982035928144,490.56487025948104
12.25,35.56487025948104,32.63073852295409,2.934131736526946,493.49900199600796
12.75,36.15768463073852,32.22754491017964,3.9301397205588824,497.42914171656685
13.25,36.2814371257485,32.50698602794411,3.7744510978043913,501.20359281437123
13.75,35.87824351297405,32.59680638722555,3.281437125748503,504.4850299401197
14.25,36.079840319361274,32.77045908183633,3.30938123752495,507.7944111776447
14.75,35.17165668662675,33.03393213572854,2.1377245508982035,509.9321357285429
15.25,35.0,32.868263473053894,2.1317365269461077,512.0638722554891
15.75,35.209580838323355,33.187624750499005,2.021956087824351,514.0858283433134
16.25,35.66467065868263,33.141716566866265,2.5229540918163673,516.6087824351298
16.75,35.8063872255489,33.24151696606786,2.564870259481038,519.1736526946108
17.25,35.796407185628745,33.67664670658683,2.1197604790419162,521.2934131736528
17.75,34.846307385229544,33.92814371257485,0.9181636726546906,522.2115768463075
18.25,35.271457085828345,33.684630738522955,1.5868263473053892,523.7984031936129
18.75,35.818363273453095,34.12974051896207,1.688622754491018,525.4870259481039
19.25,35.30938123752495,34.82834331337325,0.4810379241516966,525.9680638722556
19.75,35.49301397205589,34.52694610778443,0.9660678642714571,526.9341317365271
