distance_from_surface_A,pH6_30mM_1pct,pH6_30mM_10pct,pH6_30mM_12pct,pH6_110mM_8pct,pH6_200mM_1pct,pH6_200mM_10pct,pH7.3_30mM_12pct,pH7.3_170mM_5pct,pH8_30mM_1pct,pH8_30mM_10pct,pH8_200mM_1pct,pH8_200mM_10pct
5.075,-258.182,-254.619,-251.208,-317.303,-356.246,-344.611,90.8,144.395,236.545,234.996,344.457,327.972
5.125,-259.968,-256.275,-253.004,-319.499,-359.03,-347.166,91.653,145.824,238.729,237.012,346.82,330.631
5.175,-261.804,-258.086,-254.838,-321.956,-361.82,-350.07,92.407,146.928,240.719,238.84,348.952,333.08
5.225,-263.489,-259.808,-256.573,-324.265,-364.551,-352.762,93.054,147.98,242.565,240.577,350.788,335.122
5.275,-265.16,-261.599,-258.351,-326.717,-367.311,-355.569,93.671,148.593,244.271,242.128,352.762,336.97
5.325,-266.926,-263.279,-260.074,-328.88,-369.834,-358.343,94.353,149.405,245.884,243.587,354.439,338.77
5.375,-268.549,-264.846,-261.693,-331.074,-372.593,-361.068,94.994,150.012,247.497,244.972,355.713,340.393
5.425,-270.172,-266.417,-263.251,-333.044,-375.339,-363.926,95.455,150.693,248.908,246.351,356.966,342.16
5.475,-271.727,-267.996,-264.727,-335.178,-378.038,-366.457,96.094,151.122,250.339,247.731,358.146,343.633
5.525,-273.273,-269.537,-266.289,-337.196,-380.457,-369.128,96.637,151.435,251.774,249.098,359.467,345.208
5.575,-274.786,-271.118,-267.776,-339.164,-383.257,-371.563,97.188,151.804,253.246,250.483,360.733,346.792
5.625,-276.295,-272.539,-269.184,-340.922,-385.623,-373.846,97.828,152.439,254.527,251.856,362.297,348.331
5.675,-277.685,-273.976,-270.493,-342.884,-387.992,-376.088,98.579,152.93,255.966,253.22,363.731,349.878
5.725,-279.116,-275.403,-271.942,-344.529,-390.317,-378.487,99.118,153.605,257.303,254.503,364.978,351.433
5.775,-280.483,-276.707,-273.335,-346.373,-392.365,-380.461,99.669,154.355,258.75,255.868,366.679,353.028
5.825,-281.796,-278.042,-274.669,-348.301,-394.367,-382.443,100.295,154.936,260.293,257.2,368.216,355.032
5.875,-283.154,-279.439,-275.954,-350.164,-396.325,-384.232,100.978,155.747,261.649,258.583,369.649,357.036
5.925,-284.399,-280.788,-277.261,-351.806,-398.389,-386.05,101.699,156.467,263.102,259.924,371.168,358.912
5.975,-285.764,-282.026,-278.653,-353.439,-400.234,-387.934,102.335,157.349,264.695,261.401,372.737,360.739
6.025,-287.074,-283.359,-279.852,-355.158,-402.176,-389.737,103.082,158.08,266.367,262.806,374.259,362.705
6.075,-288.317,-284.583,-281.15,-356.629,-403.964,-391.806,103.721,158.954,267.96,264.218,375.762,364.305
6.125,-289.729,-285.852,-282.535,-358.106,-405.946,-393.533,104.451,159.85,269.517,265.743,377.647,366.148
6.175,-290.92,-287.192,-283.764,-359.567,-407.768,-395.375,105.146,160.922,271.056,267.244,379.174,368.06
6.225,-292.17,-288.515,-285.042,-361.132,-409.499,-397.128,105.908,161.673,272.731,268.842,380.76,370.074
6.275,-293.411,-289.689,-286.248,-362.673,-411.425,-398.679,106.629,162.677,274.255,270.269,382.591,371.926
6.325,-294.711,-290.908,-287.531,-364.261,-413.299,-400.355,107.371,163.489,275.723,271.731,384.331,373.844
6.375,-296.038,-292.136,-288.78,-365.864,-415.048,-402.228,108.068,164.355,277.248,273.22,385.936,375.645
6.425,-297.267,-293.409,-290.126,-367.583,-417.122,-403.794,108.749,165.064,278.743,274.703,387.697,377.611
6.475,-298.663,-294.673,-291.401,-369.234,-418.968,-405.591,109.499,165.958,280.21,276.088,389.323,379.287
6.525,-299.904,-295.942,-292.603,-370.892,-420.731,-407.361,110.234,166.75,281.747,277.475,390.673,380.89
6.575,-301.216,-297.204,-293.884,-372.449,-422.555,-409.118,111.014,167.705,283.253,278.942,392.1,382.597
6.625,-302.539,-298.333,-295.142,-374.126,-424.136,-411.044,111.888,168.639,284.729,280.421,393.447,384.22
6.675,-303.9,-299.623,-296.547,-375.541,-426.036,-412.854,112.541,169.387,286.192,281.914,395.026,385.745
6.725,-305.094,-300.904,-297.798,-377.164,-427.872,-414.577,113.341,170.196,287.802,283.329,396.671,387.507
6.775,-306.357,-302.09,-299.164,-378.555,-429.509,-416.259,114.16,171.168,289.347,284.713,398.369,389.433
6.825,-307.587,-303.409,-300.479,-380.004,-431.056,-417.774,114.946,172.07,290.729,286.184,399.784,391.184
6.875,-308.826,-304.671,-301.764,-381.547,-432.493,-419.307,115.683,172.713,292.156,287.667,401.086,393.006
6.925,-309.946,-305.932,-302.998,-382.814,-434.094,-420.892,116.375,173.603,293.515,288.952,402.521,394.824
6.975,-310.986,-307.098,-304.032,-384.15,-435.455,-422.577,117.11,174.645,294.898,290.339,404.08,396.353
7.025,-312.146,-308.114,-305.202,-385.493,-436.906,-423.499,117.792,175.545,296.236,291.735,405.583,398.06
7.075,-313.287,-309.375,-306.269,-386.699,-438.082,-424.79,118.573,176.413,297.633,293.002,407.14,399.719
7.125,-314.475,-310.387,-307.349,-387.942,-439.489,-425.99,119.393,177.289,298.914,294.206,408.467,401.371
7.175,-315.521,-311.347,-308.437,-389.222,-440.573,-427.263,120.072,178.198,300.236,295.567,409.952,402.97
7.225,-316.635,-312.471,-309.539,-390.493,-441.852,-428.445,120.756,179.122,301.485,296.872,411.327,404.453
7.275,-317.681,-313.545,-310.575,-391.509,-443.042,-429.681,121.399,179.892,302.828,298.15,412.768,405.828
7.325,-318.681,-314.691,-311.629,-392.539,-444.122,-430.719,122.082,180.745,304.076,299.361,414.16,407.319
7.375,-319.687,-315.758,-312.679,-393.729,-445.148,-431.928,122.709,181.711,305.397,300.431,415.83,408.752
7.425,-320.679,-316.703,-313.667,-394.699,-446.323,-432.942,123.287,182.639,306.681,301.595,417.331,410.391
