r_A,pH6_200_10_3F,pH6_200_10_3F_sem,pH6_200_10_5F,pH6_200_10_5F_sem,pH6_30_12_3F,pH6_30_12_3F_sem,pH6_30_12_5F,pH6_30_12_5F_sem,pH6_110_8_3F,pH6_110_8_3F_sem,pH6_110_8_5F,pH6_110_8_5F_sem,pH73_170_5_3F,pH73_170_5_3F_sem,pH73_170_5_5F,pH73_170_5_5F_sem
0.1,-0.011933545411087682,0.00018303508809783267,-0.015063664560675356,0.00035218145470755657,-0.014374756692695034,0.00021816360204391768,-0.01840417553299985,0.00032832886934228795,-0.009528499904878517,0.00014575785961637748,-0.012059642478222674,0.0002162462843717084,-0.005792049361563397,8.088231046366497e-05,-0.007500932617324595,0.0001154712581688367
0.2,-0.013263982374563292,0.00019603030273277668,-0.0168771784896641,0.0003883142795684221,-0.015972907009142525,0.00023141495156587516,-0.020717726059178748,0.0003509815090059894,-0.010568620984075714,0.00015616692913588196,-0.013471455878525659,0.0002412669157976076,-0.006443734334064273,8.824237036332776e-05,-0.008464792542945562,0.00012268402759606936
0.30000000000000004,-0.014650005235858058,0.00020877260437393577,-0.01877129281957912,0.0004283758895350471,-0.017639560556038665,0.000245374107447077,-0.023111181437503008,0.00037601224274008064,-0.011655693929703696,0.00016777488872577086,-0.014911281734930509,0.00027996387553530917,-0.007124585819287565,9.6008292986482e-05,-0.009471525985123939,0.0001311284669996256
0.4,-0.01607946721983,0.00022153910690641244,-0.020737361909049273,0.0004657423922615983,-0.019349250528158248,0.0002603947710221985,-0.025598734175627053,0.00040452061830063894,-0.012783491994630417,0.00017963735607165706,-0.016359096215075822,0.0003262358210788265,-0.007823862290780775,0.0001040836535204536,-0.010506109404466762,0.00014247723094154024
0.5,-0.017536196558748118,0.00023516143369649664,-0.02273484435526949,0.0005083617174106307,-0.021111466459142504,0.00027640080867335706,-0.028118881636619693,0.000438789678014578,-0.013916108435656136,0.00019299494972503092,-0.017822152968782295,0.00037529833760181546,-0.008545307930423317,0.00011241205276741104,-0.011561381696259164,0.00015702352868401804
0.6000000000000001,-0.01900676555173115,0.0002495317236043197,-0.02474014175871641,0.0005510048807023945,-0.022886660595925264,0.00029316219434902653,-0.030667629188778977,0.0004746176124117414,-0.015066941353860665,0.00020680740921599894,-0.01924016630994364,0.00043211123148962396,-0.009268791052280304,0.0001214797776155801,-0.012617560337885534,0.00017534208935888354
0.7000000000000001,-0.02045593436480868,0.0002645739779755848,-0.026735150589993675,0.0005922790535089395,-0.024635547619667922,0.0003111177710969806,-0.033152676007664014,0.0005154962125252051,-0.016204188106529065,0.00022171727217363039,-0.020622135012551675,0.0004914682596020342,-0.009983315142068181,0.0001306225484327547,-0.013651070471856886,0.0001980983583579592
0.8,-0.021860325529013055,0.00028017794743689234,-0.02867297470256939,0.000639643421961822,-0.02633091986164139,0.0003297501051600783,-0.03558656296098991,0.0005599028708603875,-0.017319312910180042,0.0002358964568743184,-0.0219181354963704,0.0005521062665575524,-0.010671661224252144,0.00014043463174303475,-0.014666857343089099,0.00022206328377780095
0.9,-0.023200770883350454,0.0002965342665124496,-0.03051400003963946,0.0006893473543153293,-0.027973945869312792,0.00034916766820506794,-0.03792192443756477,0.0006082362068287235,-0.01839142448936436,0.00025073942622185993,-0.023194364772736148,0.0006121551596678893,-0.011343408317490858,0.00015076902234187385,-0.01565119536173654,0.0002466365068061229
1.0,-0.02445441962570197,0.0003142079818735175,-0.03234200588706436,0.0007316184515456238,-0.029528834599200367,0.0003697800637363347,-0.04019758125541774,0.0006564577964693294,-0.01942785578672726,0.0002661956002038034,-0.024417374160375392,0.0006694786888635175,-0.011980979764668434,0.00016286113930197145,-0.016589834456840095,0.00027234449676271353
1.1,-0.025655248913159248,0.0003326252074103965,-0.033999498886070144,0.0007814904023036918,-0.031031374550232055,0.0003914457444593109,-0.04239076270245546,0.0007116464659074133,-0.02042712309849788,0.00028149119532769193,-0.025573472270899924,0.000731991499623003,-0.012584278067834796,0.00017582291586516006,-0.017492915033189792,0.0002991602760394186
1.2000000000000002,-0.026796201433978387,0.0003529718665391445,-0.03559523057482605,0.0008339544289003016,-0.03247076260342926,0.0004142722307061655,-0.044524144551989706,0.0007689252414941856,-0.02137748689169092,0.00029778840227548734,-0.026603783347504347,0.0007974501885538482,-0.013155864310938034,0.00019006948536581334,-0.018381250715299214,0.0003263616954582815
1.3,-0.027864200678283303,0.0003753037224251523,-0.037040366185678464,0.0008938031609299243,-0.03387464625375474,0.0004376904665684863,-0.04652647645849054,0.0008328450238332758,-0.0222747786119375,0.0003150119263300911,-0.02754048193029978,0.0008639537356553137,-0.01368766652326427,0.00020526958357348782,-0.01921257850741492,0.00035346716200077943
1.4000000000000001,-0.028883391862312126,0.0003987943702502757,-0.03838005730255081,0.0009606030198178022,-0.035202547988284164,0.00046297226277827453,-0.048447738494546096,0.000906207569777207,-0.023146403381189753,0.00033351160418299914,-0.02835043337502809,0.0009368842217063883,-0.014199535854621678,0.00022146747316781739,-0.020023035669089098,0.000384070479869911
1.5,-0.029854374097342533,0.0004239711897676016,-0.03960199884383646,0.00103964977307372,-0.03649531116660898,0.0004890811277595519,-0.05038616675593771,0.000982802178941407,-0.023979899843438263,0.0003534512121830518,-0.028977536136294738,0.0010277551115599676,-0.014695057078381063,0.00023803503143079107,-0.020806203304446026,0.00041712651981444786
1.6,-0.030779944407497505,0.0004514345315593914,-0.04068941362868244,0.0011222843222896775,-0.03776956710604598,0.0005158901548749701,-0.05219940520445074,0.00105977471305763,-0.024798213511708397,0.0003750439166807567,-0.02952634563000121,0.0011185246033274226,-0.015154404270211017,0.00025649436788393486,-0.021518504309556236,0.00045271766046025696
1.7000000000000002,-0.031681294129179596,0.0004804902982505196,-0.041731725303716646,0.0012114679143529724,-0.03900117148268298,0.0005442724074660908,-0.05400077801791404,0.001129381031566257,-0.025619044518727752,0.00039689110641431515,-0.029975660531078203,0.0012082255215989863,-0.01560875047096264,0.0002754577338269506,-0.022223945615762252,0.0004912141852074912
1.8,-0.03257575153041146,0.0005089364171207449,-0.04259864509637574,0.0013084678863417999,-0.040241460695955966,0.0005733544454784514,-0.05577433989195291,0.0012016211321667154,-0.026431835779639163,0.00041933671187752684,-0.0303630846845039,0.0012971953734378786,-0.016055955239059394,0.0002951218937761795,-0.022892022694352546,0.0005327883637027773
1.9000000000000001,-0.03345836879411618,0.0005391324941798114,-0.04339035533050432,0.0014047289125734745,-0.04145542196487617,0.000604195500015556,-0.057460493670080555,0.001272958779451889,-0.027247002615902415,0.0004419555857862585,-0.030670414742253297,0.0013818415469831992,-0.016498193263468002,0.00031553979031744716,-0.02352578558275263,0.0005776370839092608
2.0,-0.03431176490591392,0.000569967479758687,-0.04411334913749482,0.0015036252408586928,-0.042669412461594426,0.000636184664912792,-0.05899322416374515,0.0013499381210705312,-0.02803376378254996,0.00046525987807509737,-0.030851049111243225,0.00146901738568349,-0.016941330281616082,0.00033649341471808186,-0.024109095237850906,0.0006248470627886804
2.1,-0.035160912258447474,0.0006024991307082456,-0.04474937807119664,0.0016075190459658,-0.04385209218220374,0.0006703115065720532,-0.06043703523251487,0.0014357644898225638,-0.02883118411259501,0.0004893926242299622,-0.03089404369182403,0.001556788944436533,-0.017372765578168504,0.0003578561423600132,-0.024622596508053915,0.0006769744424859627
2.2,-0.03600616552656483,0.0006361862660737426,-0.04526168235647071,0.0017158148659430958,-0.04504112555920931,0.0007066035967022113,-0.0617761724993645,0.0015287320710113508,-0.02963434155771711,0.0005146700057749249,-0.030706453947625934,0.0016509910268319376,-0.017813550644758404,0.00037987867088359905,-0.02503559307553077,0.0007371448670122973
2.3000000000000003,-0.03682887753628095,0.0006720493763379518,-0.04561516702002574,0.0018320463658294966,-0.04623232116935489,0.0007448969997206541,-0.06292742204429183,0.0016311491263191382,-0.030430635309965787,0.0005410789519129976,-0.030311058772268067,0.001753072269659075,-0.018262457622096818,0.0004018738880277429,-0.02544291978688076,0.000803288457451474
2.4000000000000004,-0.03760114716486549,0.0007095832518415886,-0.04592906982406924,0.0019516369167267217,-0.047402237585157936,0.0007848712212204656,-0.06398754770537729,0.0017390242511295955,-0.031204017866728672,0.0005681725383583473,-0.029793497120269345,0.0018619132470716934,-0.01869738555388651,0.0004251167845439377,-0.025778682532651934,0.0008762458395063969
2.5,-0.03833974573040353,0.0007495977578887043,-0.0460941109320669,0.002081137763584537,-0.048542057510126774,0.000826951057632408,-0.06494028662260255,0.0018496457917613154,-0.03195639678551126,0.0005964735284998176,-0.02911467474870341,0.0019738901203866983,-0.019121287688054156,0.00044891952590488706,-0.02605118143131771,0.0009498803574189305
2.6,-0.03906830149660469,0.000791850109719487,-0.04608371419503388,0.0022129504066451906,-0.04969087348943164,0.0008701001926237961,-0.06582688884896798,0.001969247780396126,-0.03269908747211353,0.0006256722303387977,-0.0282637840428642,0.0020981506853866576,-0.019533337066791424,0.00047447161631151573,-0.026275246453465614,0.0010271144173382733
2.7,-0.03978227212612385,0.0008362162049011803,-0.04587856523560801,0.002356391743061266,-0.05082823807395904,0.0009145305325617469,-0.06657906839207287,0.0020950777479756813,-0.0334187060879601,0.0006566421148150713,-0.027257884117898798,0.0022283911001739452,-0.019931117265980017,0.0005005984983466867,-0.02640097008163763,0.0011138737206165925
2.8000000000000003,-0.0404923241080498,0.0008821867417818914,-0.04562202269626671,0.002502007576410786,-0.05197089288203087,0.0009603369940966128,-0.06716675441972125,0.0022273016398434574,-0.03409798720130088,0.0006893880421416018,-0.026028753934162596,0.0023642228595867117,-0.020320543908974507,0.000527812007897475,-0.026432554853482056,0.0012041852010307677
